date,mkt,name,offer,price,shares,symbol
8/8/2012,NASDAQ,PEREGRINE SEMICONDUCTOR CORP,"$77,000,000",$14,"5,500,000",PSMI
8/8/2012,NASDAQ,"BLOOMIN' BRANDS, INC.","$176,000,000",$11,"16,000,000",BLMN
8/3/2012,New York Stock Exchange,GLOBUS MEDICAL INC,"$99,999,996",$12,"8,333,333",GMED
8/2/2012,NASDAQ,"ELOQUA, INC.","$92,000,000",$11.50,"8,000,000",ELOQ
8/2/2012,NASDAQ,HYDE PARK ACQUISITION CORP. II,"$75,000,000",$10,"7,500,000",HPAC
7/27/2012,New York Stock Exchange,"AMREIT, INC.","$51,100,000",$14,"3,650,000",AMRE
7/27/2012,NASDAQ,"DEL FRISCO'S RESTAURANT GROUP, INC.","$75,400,000",$13,"5,800,000",DFRG
7/26/2012,NASDAQ,E2OPEN INC,"$70,312,500",$15,"4,687,500",EOPN
7/26/2012,NASDAQ,HYPERION THERAPEUTICS INC,"$50,000,000",$10,"5,000,000",HPTX
7/26/2012,New York Stock Exchange,NORTHERN TIER ENERGY LP,"$227,500,000",$14,"16,250,000",NTI
7/25/2012,New York Stock Exchange,"NATURAL GROCERS BY VITAMIN COTTAGE, INC.","$107,142,855",$15,"7,142,857",NGVC
7/25/2012,OTCBB,EUROSITE POWER INC.,"$18,750,000",$1.25,"15,000,000",EUSP
7/24/2012,NASDAQ,"CHUY'S HOLDINGS, INC.","$75,833,329",$13,"5,833,333",CHUY
7/20/2012,New York Stock Exchange,PALO ALTO NETWORKS INC,"$260,400,000",$42,"6,200,000",PANW
7/20/2012,NASDAQ,INFINITY CROSS BORDER ACQUISITION CORP,"$40,000,000",$8,"5,000,000",INXBU
7/20/2012,NASDAQ,KAYAK SOFTWARE CORP,"$91,000,000",$26,"3,500,000",KYAK
7/19/2012,OTCBB,"VAPORIN, INC.","$426,667",$0.08,"5,333,333",VGLD
7/19/2012,NASDAQ,"DURATA THERAPEUTICS, INC.","$67,500,000",$9,"7,500,000",DRTX
7/19/2012,NASDAQ,"FIVE BELOW, INC","$163,461,528",$17,"9,615,384",FIVE
7/10/2012,NASDAQ,"FS BANCORP, INC.","$28,175,000",$10,"2,817,500",FSBW
6/29/2012,New York Stock Exchange,"SERVICENOW, INC.","$209,700,000",$18,"11,650,000",NOW
6/28/2012,NASDAQ,"TESARO, INC.","$81,000,000",$13.50,"6,000,000",TSRO
6/28/2012,NASDAQ,EXA CORP,"$62,500,000",$10,"6,250,000",EXA
6/27/2012,New York Stock Exchange,"EQT MIDSTREAM PARTNERS, LP","$262,500,000",$21,"12,500,000",EQM
6/22/2012,New York Stock Exchange,CENCOSUD S.A.,"$238,298,873",$15.61,"15,265,783",CNCO
6/6/2012,New York Stock Exchange,STREAM EXCHANGE TRADED TRUST,"$625,000,000",$25,"25,000,000",BNPC
6/5/2012,OTCBB,GLOBAL GREEN INC.,"$29,503,216",$0.20,"147,516,080",GOGC
5/18/2012,Nasdaq Global Market,FACEBOOK INC,"$16,006,877,370",$38,"421,233,615",FB
5/11/2012,NASDAQ,EDWARDS GROUP LTD,"$100,000,000",$8,"12,500,000",EVAC
5/11/2012,NASDAQ,"IGNITE RESTAURANT GROUP, INC.","$80,769,234",$14,"5,769,231",IRG
5/10/2012,NASDAQ,AUDIENCE INC,"$89,593,060",$17,"5,270,180",ADNC
5/10/2012,New York Stock Exchange,"WAGEWORKS, INC.","$58,500,000",$9,"6,500,000",WAGE
5/10/2012,New York Stock Exchange,WESTERN ASSET MORTGAGE CAPITAL CORP,"$160,000,000",$20,"8,000,000",WMC
5/8/2012,OTCBB,"REZOLUTE, INC.","$39,300",$0.05,"786,000",FMYY
5/4/2012,New York Stock Exchange,"TILLY'S, INC.","$124,000,000",$15.50,"8,000,000",TLYS
5/4/2012,New York Stock Exchange,PETROLOGISTICS LP,"$595,000,000",$17,"35,000,000",PDH
5/3/2012,New York Stock Exchange,PACIFIC COAST OIL TRUST,"$370,000,000",$20,"18,500,000",ROYT
5/3/2012,NASDAQ,CARLYLE GROUP L.P.,"$671,000,000",$22,"30,500,000",CG
5/3/2012,New York Stock Exchange,"TIAA FSB HOLDINGS, INC.","$192,200,000",$10,"19,220,000",EVER
5/1/2012,NASDAQ,SUPERNUS PHARMACEUTICALS INC,"$50,000,000",$5,"10,000,000",SUPN
4/27/2012,American Stock Exchange,ACQUITY GROUP LTD,"$33,333,336",$6,"5,555,556",AQ
4/27/2012,New York Stock Exchange,EDGEN GROUP INC.,"$165,000,000",$11,"15,000,000",EDG
4/26/2012,New York Stock Exchange,ARES COMMERCIAL REAL ESTATE CORP,"$142,450,000",$18.50,"7,700,000",ACRE
4/25/2012,NASDAQ,ENVIVIO INC,"$69,795,000",$9,"7,755,000",ENVI
4/25/2012,NASDAQ,CLEARSIGN COMBUSTION CORP,"$12,000,000",$4,"3,000,000",CLIR
4/20/2012,New York Stock Exchange,INFOBLOX INC,"$120,000,000",$16,"7,500,000",BLOX
4/20/2012,OTCBB,"GREEN BALLAST, INC.","$11,736,192",$0.48,"24,450,400",GBLL
4/20/2012,New York Stock Exchange,"MIDSTATES PETROLEUM COMPANY, INC.","$312,000,000",$13,"24,000,000",MPO
4/20/2012,NASDAQ,PROOFPOINT INC,"$82,282,473",$13,"6,329,421",PFPT
4/19/2012,NASDAQ,SPLUNK INC,"$229,500,000",$17,"13,500,000",SPLK
4/19/2012,New York Stock Exchange,"TUMI HOLDINGS, INC.","$338,037,570",$18,"18,779,865",TUMI
4/18/2012,New York Stock Exchange,SANDRIDGE ENERGY INC,"$546,000,000",$21,"26,000,000",SDR
4/17/2012,NASDAQ,DIGITAL CINEMA DESTINATIONS CORP.,"$13,420,000",$6.10,"2,200,000",DCIN
4/12/2012,New York Stock Exchange,MRC GLOBAL INC.,"$477,272,733",$21,"22,727,273",MRC
4/12/2012,New York Stock Exchange,"FORUM ENERGY TECHNOLOGIES, INC.","$378,947,320",$20,"18,947,366",FET
4/12/2012,New York Stock Exchange,"OAKTREE CAPITAL GROUP, LLC","$380,249,989",$43,"8,843,023",OAK
4/11/2012,NASDAQ,ERICKSON INC.,"$38,400,000",$8,"4,800,000",EAC
4/10/2012,OTCBB,"MISTER GOODY, INC.","$140,000",$0.35,"400,000",MSGO
4/5/2012,New York Stock Exchange,"RETAIL PROPERTIES OF AMERICA, INC.","$254,400,000",$8,"31,800,000",RPAI
3/30/2012,NASDAQ,"ENPHASE ENERGY, INC.","$53,818,182",$6,"8,969,697",ENPH
3/30/2012,New York Stock Exchange,GASLOG LTD.,"$329,000,000",$14,"23,500,000",GLOG
3/29/2012,NASDAQ,MERRIMACK PHARMACEUTICALS INC,"$100,100,000",$7,"14,300,000",MACK
3/29/2012,New York Stock Exchange,MILLENNIAL MEDIA INC.,"$132,600,000",$13,"10,200,000",MM
3/29/2012,NASDAQ,CAFEPRESS INC.,"$85,500,000",$19,"4,500,000",PRSS
3/29/2012,New York Stock Exchange,REXNORD CORP,"$426,315,798",$18,"23,684,211",RXN
3/28/2012,New York Stock Exchange,REGIONAL MANAGEMENT CORP.,"$63,000,000",$15,"4,200,000",RM
3/28/2012,New York Stock Exchange,"ANNIE'S, INC.","$95,000,000",$19,"5,000,000",BNNY
3/28/2012,New York Stock Exchange,TEUCRIUM COMMODITY TRUST,"$250,000,000",$50,"5,000,000",TAGS
3/28/2012,New York Stock Exchange,"VOCERA COMMUNICATIONS, INC.","$93,600,000",$16,"5,850,000",VCRA
3/23/2012,New York Stock Exchange,VIPSHOP HOLDINGS LTD,"$71,529,900",$6.50,"11,004,600",VIPS
3/23/2012,New York Stock Exchange,WHITING PETROLEUM CORP,"$320,000,000",$20,"16,000,000",WHZ
3/22/2012,New York Stock Exchange,"WORLDPAY, INC.","$500,004,000",$17,"29,412,000",VNTV
3/22/2012,NASDAQ,CAESARSTONE LTD.,"$73,260,000",$11,"6,660,000",CSTE
3/22/2012,New York Stock Exchange,"EXACTTARGET, INC.","$161,500,000",$19,"8,500,000",ET
3/21/2012,NASDAQ,BGS ACQUISITION CORP.,"$40,000,000",$10,"4,000,000",BGSCU
3/19/2012,NASDAQ,TECNOGLASS INC.,"$40,000,000",$10,"4,000,000",ANDAU
3/15/2012,New York Stock Exchange,ALLISON TRANSMISSION HOLDINGS INC,"$600,300,000",$23,"26,100,000",ALSN
3/15/2012,New York Stock Exchange,DEMANDWARE INC,"$88,000,000",$16,"5,500,000",DWRE
3/15/2012,NASDAQ,"MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.","$114,000,000",$19,"6,000,000",MTSI
3/14/2012,OTCBB,"MOJO DATA SOLUTIONS, INC.","$303,480",$0.30,"1,011,600",AUTT
3/8/2012,New York Stock Exchange,NATIONSTAR MORTGAGE HOLDINGS INC.,"$233,333,338",$14,"16,666,667",NSM
3/7/2012,New York Stock Exchange,SELECT INCOME REIT,"$172,000,000",$21.50,"8,000,000",SIR
3/2/2012,New York Stock Exchange,YELP INC,"$107,250,000",$15,"7,150,000",YELP
3/1/2012,NASDAQ,"AMERICAN REALTY CAPITAL TRUST, INC.","$39,600,000",$6,"6,600,000",ARCT
2/29/2012,NASDAQ,"HOME LOAN SERVICING SOLUTIONS, LTD.","$186,666,662",$14,"13,333,333",HLSS
2/24/2012,New York Stock Exchange,PROTO LABS INC,"$68,800,000",$16,"4,300,000",PRLB
2/24/2012,NASDAQ,"EVERYWARE GLOBAL, INC.","$75,000,000",$10,"7,500,000",ROIQU
2/24/2012,NASDAQ,BAZAARVOICE INC,"$113,811,552",$12,"9,484,296",BV
2/22/2012,NASDAQ,"CERES, INC.","$65,000,000",$13,"5,000,000",CERE
2/17/2012,NASDAQ,BRIGHTCOVE INC,"$55,000,000",$11,"5,000,000",BCOV
2/10/2012,NASDAQ,"HOMESTREET, INC.","$83,443,448",$44,"1,896,442",HMST
2/10/2012,New York Stock Exchange,"GSE HOLDING, INC.","$63,000,000",$9,"7,000,000",GSE
2/10/2012,NASDAQ,"SYNACOR, INC.","$34,090,850",$5,"6,818,170",SYNC
2/9/2012,New York Stock Exchange,FX ALLIANCE INC.,"$62,400,000",$12,"5,200,000",FX
2/8/2012,New York Stock Exchange,"ROUNDY'S, INC.","$163,045,453",$8.50,"19,181,818",RNDY
2/8/2012,NASDAQ,"CHEMOCENTRYX, INC.","$45,000,000",$10,"4,500,000",CCXI
2/8/2012,New York Stock Exchange,CEMENTOS PACASMAYO SAA,"$230,000,000",$11.50,"20,000,000",CPAC
2/8/2012,NASDAQ,CAESARS ENTERTAINMENT CORP,"$16,301,817",$9,"1,811,313",CZR
2/8/2012,New York Stock Exchange,"EPAM SYSTEMS, INC.","$72,000,000",$12,"6,000,000",EPAM
2/3/2012,NASDAQ,"MELINTA THERAPEUTICS, INC. /NEW/","$50,400,000",$6,"8,400,000",CEMP
2/2/2012,New York Stock Exchange,AVG TECHNOLOGIES N.V.,"$128,000,000",$16,"8,000,000",AVG
2/2/2012,New York Stock Exchange,GREENWAY MEDICAL TECHNOLOGIES INC,"$66,666,670",$10,"6,666,667",GWAY
2/2/2012,New York Stock Exchange,MATADOR RESOURCES CO,"$160,000,008",$12,"13,333,334",MTDR
2/1/2012,New York Stock Exchange,"U.S. SILICA HOLDINGS, INC.","$199,999,985",$17,"11,764,705",SLCA
1/27/2012,NASDAQ,"VERASTEM, INC.","$55,000,000",$10,"5,500,000",VSTM
1/25/2012,New York Stock Exchange,"GUIDEWIRE SOFTWARE, INC.","$115,050,000",$13,"8,850,000",GWRE
1/19/2012,NASDAQ,"RENEWABLE ENERGY GROUP, INC.","$72,000,000",$10,"7,200,000",REGI
12/16/2011,New York Stock Exchange,CRESTWOOD MIDSTREAM PARTNERS LP,"$272,000,000",$17,"16,000,000",NRGM
12/16/2011,NASDAQ,ZYNGA INC,"$1,000,000,000",$10,"100,000,000",ZNGA
12/15/2011,New York Stock Exchange,"BONANZA CREEK ENERGY, INC.","$170,000,000",$17,"10,000,000",BCEI
12/15/2011,New York Stock Exchange,MICHAEL KORS HOLDINGS LTD,"$944,000,000",$20,"47,200,000",KORS
12/15/2011,New York Stock Exchange,"LAREDO PETROLEUM, INC.","$297,500,000",$17,"17,500,000",LPI
12/15/2011,NASDAQ,"MID-CON ENERGY PARTNERS, LP","$97,200,000",$18,"5,400,000",MCEP
12/14/2011,New York Stock Exchange,GAZIT-GLOBE LTD,"$81,000,000",$9,"9,000,000",GZT
12/14/2011,New York Stock Exchange,SANCHEZ ENERGY CORP,"$220,000,000",$22,"10,000,000",SN
12/13/2011,NASDAQ,"JIVE SOFTWARE, INC.","$161,275,200",$12,"13,439,600",JIVE
12/9/2011,New York Stock Exchange,"ROSE ROCK MIDSTREAM, L.P.","$140,000,000",$20,"7,000,000",RRMS
12/9/2011,NASDAQ,AMPLIFY ENERGY CORP,"$171,000,000",$19,"9,000,000",MEMP
11/18/2011,New York Stock Exchange,"DIGITAL DOMAIN MEDIA GROUP, INC.","$41,820,000",$8.50,"4,920,000",DDMG
11/18/2011,NASDAQ,INTERMOLECULAR INC,"$96,500,000",$10,"9,650,000",IMI
11/18/2011,NASDAQ,MATTRESS FIRM HOLDING CORP.,"$105,555,545",$19,"5,555,555",MFRM
11/18/2011,New York Stock Exchange,"MANNING & NAPIER, INC.","$150,000,000",$12,"12,500,000",MN
11/17/2011,New York Stock Exchange,APTIV PLC,"$529,734,194",$22,"24,078,827",DLPH
11/17/2011,NASDAQ,"ANGIE'S LIST, INC.","$114,314,304",$13,"8,793,408",ANGI
11/16/2011,NASDAQ,"CLOVIS ONCOLOGY, INC.","$130,000,000",$13,"10,000,000",CLVS
11/16/2011,New York Stock Exchange,INVENSENSE INC,"$75,000,000",$7.50,"10,000,000",INVN
11/15/2011,New York Stock Exchange,UNITED STATES COMMODITY INDEX FUNDS TRUST,"$750,000,000",$25,"30,000,000",CPER
11/14/2011,New York Stock Exchange,CHESAPEAKE ENERGY CORP,"$380,000,000",$19,"20,000,000",CHKR
11/14/2011,NASDAQ,NEWLINK GENETICS CORP,"$43,400,000",$7,"6,200,000",NLNK
11/11/2011,New York Stock Exchange,PACIFIC DRILLING S.A.,"$49,500,000",$8.25,"6,000,000",PACD
11/11/2011,New York Stock Exchange,"LRR ENERGY, L.P.","$178,752,000",$19,"9,408,000",LRE
11/9/2011,New York Stock Exchange,IMPERVA INC,"$90,000,000",$18,"5,000,000",IMPV
11/8/2011,OTCBB,HEALTHCARE CORP OF AMERICA,"$20,000,000",$10,"2,000,000",SWCAU
11/4/2011,New York Stock Exchange,"EAST DUBUQUE NITROGEN PARTNERS, L.P.","$300,000,000",$20,"15,000,000",RNF
11/4/2011,NASDAQ,"GROUPON, INC.","$700,000,000",$20,"35,000,000",GRPN
11/3/2011,New York Stock Exchange,ENDURO RESOURCE PARTNERS LLC,"$290,400,000",$22,"13,200,000",NDRO
10/19/2011,NASDAQ,ZELTIQ AESTHETICS INC,"$91,000,000",$13,"7,000,000",ZLTQ
10/14/2011,NASDAQ,"BSB BANCORP, INC.","$78,200,000",$10,"7,820,000",BLMT
10/14/2011,New York Stock Exchange,INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,"$547,470,000",$78.21,"7,000,000",FXCH
10/14/2011,OTCBB,"HINTO ENERGY, INC","$257,500",$0.25,"1,030,000",GVTS
10/14/2011,NASDAQ,"UBIQUITI NETWORKS, INC.","$105,573,450",$15,"7,038,230",UBNT
9/19/2011,New York Stock Exchange,TEUCRIUM COMMODITY TRUST,"$250,000,000",$25,"10,000,000",CANE
9/19/2011,New York Stock Exchange,TEUCRIUM COMMODITY TRUST,"$250,000,000",$25,"10,000,000",SOYB
9/19/2011,New York Stock Exchange,TEUCRIUM COMMODITY TRUST,"$250,000,000",$25,"10,000,000",WEAT
9/13/2011,NASDAQ,"POAGE BANKSHARES, INC.","$29,325,000",$10,"2,932,500",PBSK
9/7/2011,NASDAQ,"VEREIT, INC.","$110,000,000",$12.50,"8,800,000",ARCP
8/17/2011,NASDAQ,TUDOU HOLDINGS LTD,"$174,000,000",$29,"6,000,000",TUDO
8/11/2011,NASDAQ,CARBONITE INC,"$62,500,000",$10,"6,250,000",CARB
8/11/2011,New York Stock Exchange,SANDRIDGE ENERGY INC,"$540,000,000",$18,"30,000,000",PER
8/4/2011,OTCBB,AFRICA GROWTH CORP,"$10,297,019",$1,"10,297,019",BRHM
8/4/2011,NASDAQ,MTGE INVESTMENT CORP.,"$160,000,000",$20,"8,000,000",MTGE
7/29/2011,New York Stock Exchange,"C&J OLD CO,INC.","$333,500,000",$29,"11,500,000",CJES
7/28/2011,NASDAQ,"CHEFS' WAREHOUSE, INC.","$135,000,000",$15,"9,000,000",CHEF
7/28/2011,New York Stock Exchange,TEAVANA HOLDINGS INC,"$121,428,586",$17,"7,142,858",TEA
7/28/2011,New York Stock Exchange,"WESCO AIRCRAFT HOLDINGS, INC","$315,000,000",$15,"21,000,000",WAIR
7/28/2011,NASDAQ,HORIZON PHARMA PLC,"$49,500,000",$9,"5,500,000",HZNP
7/27/2011,New York Stock Exchange,"AMERICAN MIDSTREAM PARTNERS, LP","$78,750,000",$21,"3,750,000",AMID
7/27/2011,NASDAQ,"DUNKIN' BRANDS GROUP, INC.","$422,750,000",$19,"22,250,000",DNKN
7/22/2011,NASDAQ,FRANCESCA'S HOLDINGS CORP,"$170,000,000",$17,"10,000,000",FRAN
7/22/2011,New York Stock Exchange,"APOLLO RESIDENTIAL MORTGAGE, INC.","$200,000,000",$20,"10,000,000",AMTG
7/21/2011,New York Stock Exchange,"SUNCOKE ENERGY, INC.","$185,600,000",$16,"11,600,000",SXC
7/20/2011,NASDAQ,"SKULLCANDY, INC.","$188,833,860",$20,"9,441,693",SKUL
7/20/2011,NASDAQ,ZILLOW INC,"$69,240,000",$20,"3,462,000",Z
7/17/2011,NASDAQ,TANGOE INC,"$87,700,000",$10,"8,770,000",TNGO
7/15/2011,NASDAQ,BLUE WOLF MONGOLIA HOLDINGS CORP.,"$70,000,000",$10,"7,000,000",MNGLU
7/15/2011,NASDAQ,NAUTILUS MARINE ACQUISITION CORP,"$48,000,000",$10,"4,800,000",NMARU
7/14/2011,New York Stock Exchange,"OILTANKING PARTNERS, L.P.","$215,000,000",$21.50,"10,000,000",OILT
7/1/2011,OTCBB,"GRATITUDE HEALTH, INC.","$4,736,292",$0.53,"8,936,400",APGS
7/1/2011,OTCBB,AZTECA ACQUISITION CORP,"$100,000,000",$10,"10,000,000",AZTAU
6/30/2011,NASDAQ,"FIRST CONNECTICUT BANCORP, INC.","$171,925,000",$10,"17,192,500",FBNK
6/30/2011,New York Stock Exchange,"AG MORTGAGE INVESTMENT TRUST, INC.","$110,000,000",$20,"5,500,000",MITT
6/29/2011,NASDAQ,HOMEAWAY INC,"$216,000,000",$27,"8,000,000",AWAY
6/24/2011,NASDAQ,KIOR INC,"$150,000,000",$15,"10,000,000",KIOR
6/22/2011,OTCBB,"SAEXPLORATION HOLDINGS, INC.","$60,000,000",$10,"6,000,000",TMRGU
6/22/2011,New York Stock Exchange,VANGUARD HEALTH SYSTEMS INC,"$450,000,000",$18,"25,000,000",VHS
6/17/2011,New York Stock Exchange,"BANKRATE, INC.","$300,000,000",$15,"20,000,000",RATE
6/16/2011,OTCBB,INTEGRATED DRILLING EQUIPMENT HOLDINGS CORP,"$60,000,000",$10,"6,000,000",EPAQU
6/15/2011,NASDAQ,CSI COMPRESSCO LP,"$53,400,000",$20,"2,670,000",GSJK
6/15/2011,New York Stock Exchange,"PANDORA MEDIA, INC.","$234,944,000",$16,"14,684,000",P
6/9/2011,New York Stock Exchange,"FUSION-IO, INC.","$233,700,000",$19,"12,300,000",FIO
6/9/2011,New York Stock Exchange,TAOMEE HOLDINGS LTD,"$64,687,500",$9,"7,187,500",TAOM
6/6/2011,OTCBB,"SPORTS VENUES OF FLORIDA, INC.","$4,652,316",$2.49,"1,868,400",BTHR
5/27/2011,NASDAQ,PINGTAN MARINE ENTERPRISE LTD.,"$50,000,000",$10,"5,000,000",CGEIU
5/27/2011,NASDAQ,"TERRAVIA HOLDINGS, INC.","$197,550,000",$18,"10,975,000",SZYM
5/26/2011,New York Stock Exchange,"FREESCALE SEMICONDUCTOR, LTD.","$783,000,000",$18,"43,500,000",FSL
5/26/2011,New York Stock Exchange,LONE PINE RESOURCES INC.,"$195,000,000",$13,"15,000,000",LPR
5/26/2011,NASDAQ,"SPIRIT AIRLINES, INC.","$187,200,000",$12,"15,600,000",SAVE
5/25/2011,New York Stock Exchange,ACTIVE NETWORK INC,"$165,000,000",$15,"11,000,000",ACTV
5/24/2011,NASDAQ,YANDEX N.V.,"$1,304,352,200",$25,"52,174,088",YNDX
5/19/2011,New York Stock Exchange,LINKEDIN CORP,"$352,800,000",$45,"7,840,000",LNKD
5/13/2011,Nasdaq Smallcap Market,GLOBAL EAGLE ENTERTAINMENT INC.,"$175,000,000",$10,"17,500,000",EAGLU
5/12/2011,New York Stock Exchange,PHOENIX NEW MEDIA LTD,"$140,442,500",$11,"12,767,500",FENG
5/12/2011,New York Stock Exchange,NGL ENERGY PARTNERS LP,"$73,500,000",$21,"3,500,000",NGL
5/12/2011,New York Stock Exchange,CHINA ZENIX AUTO INTERNATIONAL LTD,"$77,400,000",$6,"12,900,000",ZX
5/11/2011,New York Stock Exchange,RLJ LODGING TRUST,"$495,000,000",$18,"27,500,000",RLJ
5/11/2011,NASDAQ,FRIENDFINDER NETWORKS INC.,"$50,000,000",$10,"5,000,000",FFN
5/11/2011,NASDAQ,JIAYUAN.COM INTERNATIONAL LTD,"$78,100,000",$11,"7,100,000",DATE
5/11/2011,New York Stock Exchange,KOSMOS ENERGY LTD.,"$594,000,000",$18,"33,000,000",KOS
5/10/2011,NASDAQ,JETPAY CORP,"$72,000,000",$6,"12,000,000",UBPSU
5/5/2011,New York Stock Exchange,VOC ENERGY TRUST,"$232,785,000",$21,"11,085,000",VOC
5/5/2011,New York Stock Exchange,"THERMON GROUP HOLDINGS, INC.","$120,000,000",$12,"10,000,000",THR
5/5/2011,OTCBB,SMG INDUSTRIES INC.,"$24,000,000",$5,"4,800,000",SGMEU
5/5/2011,New York Stock Exchange,LINK MOTION INC.,"$89,125,000",$11.50,"7,750,000",NQ
5/4/2011,New York Stock Exchange,RENREN INC.,"$743,400,000",$14,"53,100,000",RENN
5/4/2011,NASDAQ,RPX CORP,"$160,178,265",$19,"8,430,435",RPXC
5/4/2011,NASDAQ,BOINGO WIRELESS INC,"$77,895,000",$13.50,"5,770,000",WIFI
4/28/2011,NASDAQ,FRANKLIN FINANCIAL CORP,"$120,750,000",$10,"12,075,000",FRNK
4/21/2011,NASDAQ,RESPONSYS INC,"$79,435,848",$12,"6,619,654",MKTG
4/21/2011,NASDAQ,"21VIANET GROUP, INC.","$195,000,000",$15,"13,000,000",VNET
4/20/2011,New York Stock Exchange,ANDEAVOR LOGISTICS LP,"$273,000,000",$21,"13,000,000",TLLP
4/20/2011,NASDAQ,MISSION NEWENERGY LTD,"$25,065,000",$9,"2,785,000",MNEL
4/20/2011,NASDAQ,"SAGENT PHARMACEUTICALS, INC.","$92,000,000",$16,"5,750,000",SGNT
4/19/2011,New York Stock Exchange,AIR LEASE CORP,"$802,500,030",$26.50,"30,283,020",AL
4/18/2011,OTCBB,GLOBAL CORNERSTONE HOLDINGS LTD,"$80,000,000",$10,"8,000,000",GCRSF
4/15/2011,American Stock Exchange,ELLIE MAE INC,"$45,000,000",$6,"7,500,000",ELLI
4/15/2011,New York Stock Exchange,SEQUANS COMMUNICATIONS,"$77,000,000",$10,"7,700,000",SQNS
4/15/2011,New York Stock Exchange,"STAG INDUSTRIAL, INC.","$178,750,000",$13,"13,750,000",STIR
4/14/2011,New York Stock Exchange,BOX SHIPS INC.,"$132,000,000",$12,"11,000,000",TEU
4/14/2011,New York Stock Exchange,ARCOS DORADOS HOLDINGS INC.,"$1,249,230,788",$17,"73,484,164",ARCO
4/14/2011,New York Stock Exchange,TMS INTERNATIONAL CORP.,"$145,600,000",$13,"11,200,000",TMS
4/14/2011,NASDAQ,ZIPCAR INC,"$174,313,962",$18,"9,684,109",ZIP
4/13/2011,OTCBB,RMG NETWORKS HOLDING CORP,"$80,000,000",$10,"8,000,000",SCGQU
4/8/2011,NASDAQ,GOLAR LNG PARTNERS LP,"$270,000,000",$22.50,"12,000,000",GMLP
4/8/2011,American Stock Exchange,"AEVI GENOMIC MEDICINE, INC.","$11,168,400",$4.54,"2,460,000",MDGN
4/8/2011,New York Stock Exchange,"CVR PARTNERS, LP","$307,200,000",$16,"19,200,000",UAN
4/7/2011,New York Stock Exchange,SANDRIDGE ENERGY INC,"$315,000,000",$21,"15,000,000",SDT
4/4/2011,NASDAQ,"OCERA THERAPEUTICS, INC.","$54,000,000",$4,"13,500,000",TZYM
4/1/2011,New York Stock Exchange,"GNC HOLDINGS, INC.","$360,000,000",$16,"22,500,000",GNC
4/1/2011,American Stock Exchange,PREFERRED APARTMENT COMMUNITIES INC,"$45,000,000",$10,"4,500,000",APTS
3/30/2011,New York Stock Exchange,APOLLO GLOBAL MANAGEMENT LLC,"$565,393,621",$19,"29,757,559",APO
3/30/2011,New York Stock Exchange,QIHOO 360 TECHNOLOGY CO LTD,"$175,606,600",$14.50,"12,110,800",QIHU
3/25/2011,NASDAQ,"SERVICESOURCE INTERNATIONAL, INC.","$119,401,330",$10,"11,940,133",SREV
3/25/2011,Nasdaq Smallcap Market,PRIME ACQUISITION CORP,"$36,000,000",$10,"3,600,000",PACQU
3/21/2011,OTCBB,"ARABELLA EXPLORATION, INC.","$32,000,000",$8,"4,000,000",LOKAF
3/17/2011,NASDAQ,CORNERSTONE ONDEMAND INC,"$136,500,000",$13,"10,500,000",CSOD
3/11/2011,New York Stock Exchange,MAGNACHIP SEMICONDUCTOR CORP,"$133,000,000",$14,"9,500,000",MX
3/10/2011,New York Stock Exchange,"HCA HEALTHCARE, INC.","$3,786,000,000",$30,"126,200,000",HCA
2/24/2011,New York Stock Exchange,FACTORSHARES 2X OIL BULL/S&P500 BEAR,"$254,300,000",$25.43,"10,000,000",FOL
2/24/2011,New York Stock Exchange,FACTORSHARES 2X TBOND BULL/S&P500 BEAR,"$255,000,000",$25.50,"10,000,000",FSA
2/24/2011,New York Stock Exchange,FACTORSHARES 2X S&P500 BULL/TBOND BEAR,"$247,500,000",$24.75,"10,000,000",FSE
2/24/2011,New York Stock Exchange,FACTORSHARES 2X GOLD BULL/S&P500 BEAR,"$249,600,000",$24.96,"10,000,000",FSG
2/24/2011,New York Stock Exchange,FACTORSHARES 2X S&P500 BULL/USD BEAR,"$252,400,000",$25.24,"10,000,000",FSU
2/23/2011,New York Stock Exchange,TEUCRIUM COMMODITY TRUST,"$750,000,000",$50,"15,000,000",CRUD
2/18/2011,OTCBB,"RLJ ACQUISITION, INC.","$125,000,000",$10,"12,500,000",RLJAU
2/15/2011,New York Stock Exchange,ZUOAN FASHION LTD,"$42,000,000",$7,"6,000,000",ZA
2/11/2011,NASDAQ,ACELRX PHARMACEUTICALS INC,"$40,000,000",$5,"8,000,000",ACRX
2/11/2011,NASDAQ,"KIPS BAY MEDICAL, INC.","$16,500,000",$8,"2,062,500",KIPS
2/11/2011,New York Stock Exchange,"KINDER MORGAN, INC.","$2,863,998,000",$30,"95,466,600",KMI
2/10/2011,NASDAQ,FLUIDIGM CORP,"$75,037,496",$13.50,"5,558,333",FLDM
2/9/2011,New York Stock Exchange,"SUMMIT HOTEL PROPERTIES, INC.","$253,500,000",$9.75,"26,000,000",INN
2/9/2011,NASDAQ,"GEVO, INC.","$107,250,000",$15,"7,150,000",GEVO
2/8/2011,New York Stock Exchange,"EMERGENT CAPITAL, INC.","$179,166,670",$10.75,"16,666,667",IFT
