date,mkt,name,offer,price,shares,symbol
4/20/2016,New York Stock Exchange,MGM GROWTH PROPERTIES LLC,"$1,050,000,000",$21,"50,000,000",MGP
4/7/2016,NASDAQ,"AEGLEA BIOTHERAPEUTICS, INC.","$50,000,000",$10,"5,000,000",AGLE
4/6/2016,OTCBB,DATASEA INC.,"$93,930",$0.01,"9,393,000",DTSS
3/23/2016,NASDAQ,"CORVUS PHARMACEUTICALS, INC.","$70,500,000",$15,"4,700,000",CRVS
3/18/2016,American Stock Exchange,"SENSEONICS HOLDINGS, INC.","$45,030,000",$2.85,"15,800,000",SENS
3/17/2016,NASDAQ,HUTCHISON CHINA MEDITECH LTD,"$101,250,000",$13.50,"7,500,000",HCM
3/11/2016,NASDAQ,ROSEHILL RESOURCES INC.,"$80,000,000",$10,"8,000,000",KLREU
3/3/2016,NASDAQ,JENSYN ACQUISITION CORP.,"$39,000,000",$10,"3,900,000",JSYNU
3/3/2016,NASDAQ,SYNDAX PHARMACEUTICALS INC,"$52,800,000",$12,"4,400,000",SNDX
2/24/2016,NASDAQ,"CENTENNIAL RESOURCE DEVELOPMENT, INC.","$450,000,000",$10,"45,000,000",SRAQU
2/11/2016,NASDAQ,"PROTEOSTASIS THERAPEUTICS, INC.","$50,000,000",$8,"6,250,000",PTI
2/11/2016,NASDAQ,"AVEXIS, INC.","$95,000,000",$20,"4,750,000",AVXS
2/3/2016,NASDAQ,"BEIGENE, LTD.","$158,400,000",$24,"6,600,000",BGNE
2/3/2016,NASDAQ,"EDITAS MEDICINE, INC.","$94,400,000",$16,"5,900,000",EDIT
12/21/2015,NASDAQ,"CHINA CUSTOMER RELATIONS CENTERS, INC.","$9,600,000",$4,"2,400,000",CCRC
12/18/2015,New York Stock Exchange,YIRENDAI LTD.,"$75,000,000",$10,"7,500,000",YRD
12/10/2015,NASDAQ,ATLASSIAN CORP PLC,"$462,000,000",$21,"22,000,000",TEAM
11/25/2015,NASDAQ,"LAZYDAYS HOLDINGS, INC.","$40,000,000",$10,"4,000,000",ANDAU
11/20/2015,NASDAQ,DULUTH HOLDINGS INC.,"$80,000,004",$12,"6,666,667",DLTH
11/20/2015,NASDAQ,KITOV PHARMA LTD.,"$13,014,668",$4.12,"3,158,900",KTOV
11/19/2015,NASDAQ,"AXSOME THERAPEUTICS, INC.","$51,000,003",$9,"5,666,667",AXSM
11/19/2015,NASDAQ,MIMECAST LTD,"$77,500,000",$10,"7,750,000",MIME
11/19/2015,NASDAQ,"MATCH GROUP, INC.","$399,999,996",$12,"33,333,333",MTCH
11/19/2015,New York Stock Exchange,"SQUARE, INC.","$243,000,000",$9,"27,000,000",SQ
11/13/2015,NASDAQ,MESOBLAST LTD,"$59,836,936",$8,"7,479,617",MESO
11/13/2015,New York Stock Exchange,INSTRUCTURE INC,"$70,400,000",$16,"4,400,000",INST
11/12/2015,NASDAQ,"XTERA COMMUNICATIONS, INC.","$25,000,000",$5,"5,000,000",XCOM
11/11/2015,NASDAQ,"VOYAGER THERAPEUTICS, INC.","$70,000,000",$14,"5,000,000",VYGR
11/11/2015,NASDAQ,WAVE LIFE SCIENCES LTD.,"$102,000,000",$16,"6,375,000",WVE
11/11/2015,NASDAQ,ADVANCED ACCELERATOR APPLICATIONS S.A.,"$75,008,000",$16,"4,688,000",AAAP
11/11/2015,NASDAQ,EQUITY BANCSHARES INC,"$43,650,000",$22.50,"1,940,000",EQBK
11/5/2015,NASDAQ,"KURA ONCOLOGY, INC.","$50,000,000",$8,"6,250,000",KURA
11/4/2015,NASDAQ,FULING GLOBAL INC.,"$20,000,000",$5,"4,000,000",FORK
10/29/2015,NASDAQ,MYOKARDIA INC,"$54,375,000",$10,"5,437,500",MYOK
10/27/2015,NASDAQ,ADESTO TECHNOLOGIES CORP,"$25,000,000",$5,"5,000,000",IOTS
10/23/2015,NASDAQ,"LM FUNDING AMERICA, INC.","$20,000,000",$10,"2,000,000",LMFAU
10/23/2015,NASDAQ,OASMIA PHARMACEUTICAL AB,"$9,497,152",$4.06,"2,339,200",OASM
10/22/2015,New York Stock Exchange,MULTI PACKAGING SOLUTIONS INTERNATIONAL LTD,"$214,500,000",$13,"16,500,000",MPSX
10/22/2015,NASDAQ,"DIMENSION THERAPEUTICS, INC.","$71,500,000",$13,"5,500,000",DMTX
10/21/2015,New York Stock Exchange,FERRARI N.V.,"$893,100,000",$52,"17,175,000",RACE
10/21/2015,OTCBB,"XSPORT GLOBAL, INC.","$167,240",$0.04,"4,181,000",TLLT
10/20/2015,American Stock Exchange,AMERICAN FARMLAND CO,"$48,000,000",$8,"6,000,000",AFCO
10/16/2015,NASDAQ,STRONGBRIDGE BIOPHARMA PLC,"$25,000,000",$10,"2,500,000",SBBP
10/15/2015,NASDAQ,CERECOR INC.,"$26,000,000",$6.50,"4,000,000",CERCU
10/15/2015,New York Stock Exchange,FIRST DATA CORP,"$2,560,000,000",$16,"160,000,000",FDC
10/15/2015,NASDAQ,"BORQS TECHNOLOGIES, INC.","$50,000,000",$10,"5,000,000",PAACU
10/14/2015,NASDAQ,CAPITOL ACQUISITION CORP. III,"$300,000,000",$10,"30,000,000",CLACU
